date,trends_coin,trends_coinbase
2026-03-25,82,14
2026-03-26,78,12
2026-03-27,84,12
2026-03-28,83,10
2026-03-29,83,10
2026-03-30,78,11
2026-03-31,81,12
2026-04-01,87,13
2026-04-02,83,12
2026-04-03,81,11
2026-04-04,88,10
2026-04-05,91,10
2026-04-06,88,12
2026-04-07,86,11
2026-04-08,92,12
2026-04-09,87,12
2026-04-10,89,12
2026-04-11,88,10
2026-04-12,88,10
2026-04-13,91,13
2026-04-14,85,13
2026-04-15,82,15
2026-04-16,86,13
2026-04-17,100,16
2026-04-18,91,10
2026-04-19,88,9
2026-04-20,84,10
2026-04-21,80,12
2026-04-22,83,12
2026-04-23,84,11
2026-04-24,78,12
2026-04-25,80,8
2026-04-26,83,9
2026-04-27,82,10
2026-04-28,81,9
2026-04-29,83,10
2026-04-30,81,9
2026-05-01,76,10
2026-05-02,85,9
2026-05-03,92,10
2026-05-04,85,9
2026-05-05,78,17
2026-05-06,82,16
2026-05-07,84,14
2026-05-08,84,18
2026-05-09,83,12
2026-05-10,80,10
2026-05-11,80,12
2026-05-12,81,11
2026-05-13,87,11
2026-05-14,89,12
2026-05-15,92,11
2026-05-16,84,8
2026-05-17,86,9
2026-05-18,79,10
2026-05-19,80,10
2026-05-20,81,10
2026-05-21,78,11
2026-05-22,83,11
2026-05-23,82,10
2026-05-24,79,8
2026-05-25,80,9
2026-05-26,78,10
2026-05-27,79,12
2026-05-28,81,12
2026-05-29,84,11
2026-05-30,86,10
2026-05-31,87,11
2026-06-01,77,12
2026-06-02,78,13
2026-06-03,77,12
2026-06-04,79,12
2026-06-05,84,14
2026-06-06,91,12
2026-06-07,87,11
2026-06-08,85,12
2026-06-09,71,8
2026-06-10,68,9
2026-06-11,65,9
2026-06-12,66,10
2026-06-13,63,6
2026-06-14,63,6
2026-06-15,71,9
2026-06-16,68,9
2026-06-17,65,8
2026-06-18,68,8
2026-06-19,66,7
2026-06-20,74,6
2026-06-21,71,5
2026-06-22,65,8
2026-06-23,0,0
