date,trends_cvx,trends_chevron
2026-03-25,9,42
2026-03-26,9,40
2026-03-27,12,44
2026-03-28,4,35
2026-03-29,4,38
2026-03-30,11,43
2026-03-31,11,47
2026-04-01,11,49
2026-04-02,13,52
2026-04-03,6,40
2026-04-04,3,37
2026-04-05,3,39
2026-04-06,10,48
2026-04-07,9,47
2026-04-08,14,55
2026-04-09,10,48
2026-04-10,8,49
2026-04-11,3,42
2026-04-12,3,41
2026-04-13,11,49
2026-04-14,8,49
2026-04-15,8,52
2026-04-16,8,48
2026-04-17,11,86
2026-04-18,3,56
2026-04-19,3,39
2026-04-20,8,47
2026-04-21,7,45
2026-04-22,7,48
2026-04-23,7,57
2026-04-24,7,64
2026-04-25,3,68
2026-04-26,3,100
2026-04-27,7,51
2026-04-28,8,38
2026-04-29,7,40
2026-04-30,8,36
2026-05-01,9,45
2026-05-02,3,37
2026-05-03,2,36
2026-05-04,7,37
2026-05-05,7,38
2026-05-06,7,44
2026-05-07,7,47
2026-05-08,6,41
2026-05-09,2,37
2026-05-10,2,35
2026-05-11,8,36
2026-05-12,7,36
2026-05-13,6,44
2026-05-14,6,43
2026-05-15,7,48
2026-05-16,2,43
2026-05-17,2,39
2026-05-18,7,40
2026-05-19,7,42
2026-05-20,6,39
2026-05-21,5,38
2026-05-22,6,42
2026-05-23,3,42
2026-05-24,2,35
2026-05-25,3,34
2026-05-26,6,37
2026-05-27,6,35
2026-05-28,8,36
2026-05-29,6,36
2026-05-30,2,34
2026-05-31,2,34
2026-06-01,8,38
2026-06-02,7,37
2026-06-03,6,35
2026-06-04,5,34
2026-06-05,6,37
2026-06-06,2,35
2026-06-07,3,40
2026-06-08,6,38
2026-06-09,5,27
2026-06-10,5,29
2026-06-11,5,29
2026-06-12,5,28
2026-06-13,2,23
2026-06-14,1,21
2026-06-15,7,30
2026-06-16,7,31
2026-06-17,5,29
2026-06-18,5,29
2026-06-19,3,25
2026-06-20,2,24
2026-06-21,2,23
2026-06-22,6,34
2026-06-23,0,0
