date,trends_dis,trends_walt_disney
2026-03-25,77,66
2026-03-26,79,66
2026-03-27,84,71
2026-03-28,79,64
2026-03-29,80,73
2026-03-30,79,74
2026-03-31,84,72
2026-04-01,86,71
2026-04-02,81,71
2026-04-03,81,67
2026-04-04,90,67
2026-04-05,93,73
2026-04-06,82,76
2026-04-07,79,81
2026-04-08,85,82
2026-04-09,80,84
2026-04-10,76,76
2026-04-11,86,66
2026-04-12,84,71
2026-04-13,81,72
2026-04-14,79,72
2026-04-15,80,81
2026-04-16,82,97
2026-04-17,81,100
2026-04-18,74,89
2026-04-19,85,97
2026-04-20,77,97
2026-04-21,83,81
2026-04-22,83,80
2026-04-23,85,76
2026-04-24,87,69
2026-04-25,80,69
2026-04-26,89,80
2026-04-27,83,78
2026-04-28,84,76
2026-04-29,84,75
2026-04-30,80,75
2026-05-01,82,73
2026-05-02,85,69
2026-05-03,85,84
2026-05-04,81,82
2026-05-05,85,79
2026-05-06,91,77
2026-05-07,84,71
2026-05-08,84,74
2026-05-09,86,68
2026-05-10,88,66
2026-05-11,81,72
2026-05-12,81,79
2026-05-13,77,88
2026-05-14,80,85
2026-05-15,76,84
2026-05-16,78,70
2026-05-17,85,71
2026-05-18,79,71
2026-05-19,78,64
2026-05-20,80,74
2026-05-21,85,62
2026-05-22,88,64
2026-05-23,84,75
2026-05-24,90,77
2026-05-25,85,77
2026-05-26,83,80
2026-05-27,77,65
2026-05-28,78,75
2026-05-29,89,79
2026-05-30,85,72
2026-05-31,86,87
2026-06-01,83,75
2026-06-02,82,74
2026-06-03,82,62
2026-06-04,81,78
2026-06-05,82,69
2026-06-06,87,71
2026-06-07,85,82
2026-06-08,89,83
2026-06-09,82,97
2026-06-10,80,63
2026-06-11,79,57
2026-06-12,81,58
2026-06-13,90,84
2026-06-14,88,79
2026-06-15,90,64
2026-06-16,83,61
2026-06-17,84,56
2026-06-18,85,57
2026-06-19,84,58
2026-06-20,90,65
2026-06-21,90,71
2026-06-22,81,62
2026-06-23,0,0
