date,trends_f,trends_ford
2026-03-25,30,81
2026-03-26,29,85
2026-03-27,30,80
2026-03-28,27,87
2026-03-29,29,82
2026-03-30,29,84
2026-03-31,29,87
2026-04-01,30,91
2026-04-02,28,83
2026-04-03,28,90
2026-04-04,28,88
2026-04-05,28,82
2026-04-06,29,89
2026-04-07,29,85
2026-04-08,30,90
2026-04-09,30,84
2026-04-10,28,88
2026-04-11,26,95
2026-04-12,26,88
2026-04-13,30,91
2026-04-14,32,88
2026-04-15,29,85
2026-04-16,31,89
2026-04-17,30,99
2026-04-18,29,100
2026-04-19,26,83
2026-04-20,29,86
2026-04-21,31,87
2026-04-22,29,88
2026-04-23,29,89
2026-04-24,29,79
2026-04-25,25,86
2026-04-26,27,80
2026-04-27,30,84
2026-04-28,28,75
2026-04-29,27,80
2026-04-30,28,81
2026-05-01,27,82
2026-05-02,26,84
2026-05-03,27,76
2026-05-04,29,80
2026-05-05,27,78
2026-05-06,28,80
2026-05-07,27,85
2026-05-08,26,80
2026-05-09,25,86
2026-05-10,25,77
2026-05-11,28,80
2026-05-12,28,82
2026-05-13,28,87
2026-05-14,29,86
2026-05-15,27,95
2026-05-16,27,96
2026-05-17,28,89
2026-05-18,29,87
2026-05-19,29,88
2026-05-20,27,89
2026-05-21,27,83
2026-05-22,27,88
2026-05-23,25,89
2026-05-24,27,80
2026-05-25,28,77
2026-05-26,28,84
2026-05-27,29,82
2026-05-28,28,91
2026-05-29,29,87
2026-05-30,27,85
2026-05-31,28,89
2026-06-01,29,83
2026-06-02,28,84
2026-06-03,26,85
2026-06-04,27,86
2026-06-05,28,90
2026-06-06,27,85
2026-06-07,28,80
2026-06-08,30,88
2026-06-09,25,74
2026-06-10,26,76
2026-06-11,25,75
2026-06-12,26,81
2026-06-13,23,77
2026-06-14,23,62
2026-06-15,25,75
2026-06-16,25,79
2026-06-17,23,76
2026-06-18,25,77
2026-06-19,24,75
2026-06-20,25,77
2026-06-21,26,69
2026-06-22,27,74
2026-06-23,0,0
