date,trends_fslr,trends_first_solar
2026-03-25,5,62
2026-03-26,0,63
2026-03-27,7,73
2026-03-28,0,55
2026-03-29,0,62
2026-03-30,6,71
2026-03-31,4,84
2026-04-01,6,80
2026-04-02,7,69
2026-04-03,0,66
2026-04-04,0,57
2026-04-05,0,56
2026-04-06,0,79
2026-04-07,0,84
2026-04-08,5,88
2026-04-09,5,91
2026-04-10,0,80
2026-04-11,0,64
2026-04-12,0,65
2026-04-13,4,66
2026-04-14,0,82
2026-04-15,8,92
2026-04-16,6,84
2026-04-17,6,99
2026-04-18,0,69
2026-04-19,0,68
2026-04-20,5,78
2026-04-21,6,81
2026-04-22,7,91
2026-04-23,5,82
2026-04-24,6,80
2026-04-25,4,55
2026-04-26,0,62
2026-04-27,4,69
2026-04-28,7,70
2026-04-29,9,74
2026-04-30,13,84
2026-05-01,13,72
2026-05-02,4,64
2026-05-03,0,67
2026-05-04,0,66
2026-05-05,7,87
2026-05-06,7,87
2026-05-07,6,86
2026-05-08,8,76
2026-05-09,0,58
2026-05-10,0,68
2026-05-11,5,74
2026-05-12,5,81
2026-05-13,6,85
2026-05-14,6,82
2026-05-15,5,81
2026-05-16,0,79
2026-05-17,0,69
2026-05-18,4,75
2026-05-19,5,82
2026-05-20,6,81
2026-05-21,8,70
2026-05-22,4,74
2026-05-23,6,68
2026-05-24,0,71
2026-05-25,0,69
2026-05-26,7,73
2026-05-27,6,70
2026-05-28,15,91
2026-05-29,11,80
2026-05-30,0,74
2026-05-31,0,100
2026-06-01,7,86
2026-06-02,10,91
2026-06-03,6,59
2026-06-04,4,73
2026-06-05,4,78
2026-06-06,5,88
2026-06-07,0,81
2026-06-08,12,97
2026-06-09,5,29
2026-06-10,6,29
2026-06-11,6,29
2026-06-12,4,25
2026-06-13,1,23
2026-06-14,2,21
2026-06-15,5,28
2026-06-16,4,27
2026-06-17,4,28
2026-06-18,5,30
2026-06-19,2,25
2026-06-20,2,25
2026-06-21,2,25
2026-06-22,6,41
2026-06-23,0,0
