date,trends_gm,trends_general_motors
2026-03-25,69,4
2026-03-26,66,4
2026-03-27,63,3
2026-03-28,58,3
2026-03-29,57,3
2026-03-30,68,4
2026-03-31,80,4
2026-04-01,88,4
2026-04-02,77,3
2026-04-03,72,3
2026-04-04,63,3
2026-04-05,58,3
2026-04-06,82,14
2026-04-07,94,6
2026-04-08,100,7
2026-04-09,96,5
2026-04-10,88,5
2026-04-11,78,3
2026-04-12,70,3
2026-04-13,91,4
2026-04-14,89,4
2026-04-15,90,4
2026-04-16,97,5
2026-04-17,99,4
2026-04-18,75,3
2026-04-19,67,3
2026-04-20,91,4
2026-04-21,94,4
2026-04-22,87,4
2026-04-23,82,4
2026-04-24,81,4
2026-04-25,64,3
2026-04-26,64,3
2026-04-27,79,4
2026-04-28,82,4
2026-04-29,78,4
2026-04-30,71,4
2026-05-01,65,4
2026-05-02,58,4
2026-05-03,58,3
2026-05-04,73,4
2026-05-05,73,4
2026-05-06,79,4
2026-05-07,80,7
2026-05-08,70,4
2026-05-09,61,4
2026-05-10,55,4
2026-05-11,77,5
2026-05-12,73,4
2026-05-13,87,4
2026-05-14,92,4
2026-05-15,90,4
2026-05-16,73,3
2026-05-17,66,3
2026-05-18,81,4
2026-05-19,84,4
2026-05-20,83,4
2026-05-21,71,3
2026-05-22,77,5
2026-05-23,60,3
2026-05-24,54,2
2026-05-25,57,5
2026-05-26,69,4
2026-05-27,66,4
2026-05-28,74,4
2026-05-29,78,4
2026-05-30,64,3
2026-05-31,58,3
2026-06-01,76,4
2026-06-02,77,5
2026-06-03,73,4
2026-06-04,67,3
2026-06-05,67,4
2026-06-06,60,4
2026-06-07,56,3
2026-06-08,73,4
2026-06-09,66,3
2026-06-10,65,3
2026-06-11,61,3
2026-06-12,68,3
2026-06-13,58,2
2026-06-14,46,2
2026-06-15,64,4
2026-06-16,76,4
2026-06-17,81,3
2026-06-18,71,3
2026-06-19,63,2
2026-06-20,55,3
2026-06-21,44,3
2026-06-22,67,4
2026-06-23,0,0
