date,trends_googl,trends_alphabet_(google)
2026-03-25,47,10
2026-03-26,53,10
2026-03-27,53,11
2026-03-28,23,8
2026-03-29,24,5
2026-03-30,47,9
2026-03-31,46,9
2026-04-01,50,10
2026-04-02,42,8
2026-04-03,29,6
2026-04-04,20,4
2026-04-05,24,6
2026-04-06,43,7
2026-04-07,42,8
2026-04-08,48,8
2026-04-09,44,11
2026-04-10,40,11
2026-04-11,19,8
2026-04-12,22,6
2026-04-13,45,9
2026-04-14,45,9
2026-04-15,51,10
2026-04-16,47,11
2026-04-17,59,12
2026-04-18,25,7
2026-04-19,24,7
2026-04-20,51,9
2026-04-21,48,7
2026-04-22,42,10
2026-04-23,52,9
2026-04-24,48,10
2026-04-25,24,8
2026-04-26,23,7
2026-04-27,53,10
2026-04-28,53,10
2026-04-29,91,16
2026-04-30,100,18
2026-05-01,61,12
2026-05-02,28,10
2026-05-03,27,10
2026-05-04,51,9
2026-05-05,60,12
2026-05-06,61,13
2026-05-07,56,13
2026-05-08,54,11
2026-05-09,25,9
2026-05-10,26,8
2026-05-11,55,11
2026-05-12,53,11
2026-05-13,56,11
2026-05-14,57,13
2026-05-15,44,11
2026-05-16,22,7
2026-05-17,23,10
2026-05-18,53,12
2026-05-19,53,13
2026-05-20,49,12
2026-05-21,47,12
2026-05-22,44,13
2026-05-23,27,12
2026-05-24,19,10
2026-05-25,22,9
2026-05-26,45,11
2026-05-27,42,11
2026-05-28,44,13
2026-05-29,41,12
2026-05-30,24,10
2026-05-31,24,10
2026-06-01,57,16
2026-06-02,70,23
2026-06-03,55,13
2026-06-04,50,14
2026-06-05,47,12
2026-06-06,25,15
2026-06-07,23,13
2026-06-08,46,14
2026-06-09,37,5
2026-06-10,36,5
2026-06-11,39,5
2026-06-12,36,5
2026-06-13,16,3
2026-06-14,15,4
2026-06-15,37,4
2026-06-16,34,4
2026-06-17,31,4
2026-06-18,32,4
2026-06-19,20,3
2026-06-20,16,3
2026-06-21,16,3
2026-06-22,49,8
2026-06-23,0,0
