date,trends_gs,trends_goldman_sachs
2026-03-28,79,33
2026-03-29,76,33
2026-03-30,81,37
2026-03-31,81,41
2026-04-01,95,43
2026-04-02,92,42
2026-04-03,84,33
2026-04-04,87,28
2026-04-05,87,29
2026-04-06,88,39
2026-04-07,87,43
2026-04-08,93,45
2026-04-09,93,44
2026-04-10,98,41
2026-04-11,93,31
2026-04-12,89,32
2026-04-13,100,51
2026-04-14,98,46
2026-04-15,90,44
2026-04-16,97,40
2026-04-17,95,46
2026-04-18,96,28
2026-04-19,83,29
2026-04-20,80,37
2026-04-21,81,40
2026-04-22,86,40
2026-04-23,81,38
2026-04-24,83,41
2026-04-25,82,29
2026-04-26,84,30
2026-04-27,78,38
2026-04-28,73,33
2026-04-29,78,41
2026-04-30,76,40
2026-05-01,75,35
2026-05-02,72,27
2026-05-03,74,27
2026-05-04,74,32
2026-05-05,75,40
2026-05-06,76,45
2026-05-07,78,50
2026-05-08,81,40
2026-05-09,78,31
2026-05-10,72,38
2026-05-11,79,42
2026-05-12,76,41
2026-05-13,82,45
2026-05-14,85,38
2026-05-15,88,43
2026-05-16,89,28
2026-05-17,85,27
2026-05-18,79,34
2026-05-19,82,35
2026-05-20,86,40
2026-05-21,84,35
2026-05-22,85,34
2026-05-23,78,25
2026-05-24,79,24
2026-05-25,74,27
2026-05-26,77,34
2026-05-27,78,39
2026-05-28,80,40
2026-05-29,82,34
2026-05-30,78,29
2026-05-31,79,32
2026-06-01,79,45
2026-06-02,81,53
2026-06-03,84,35
2026-06-04,84,36
2026-06-05,84,36
2026-06-06,83,37
2026-06-07,80,35
2026-06-08,81,46
2026-06-09,83,43
2026-06-10,89,43
2026-06-11,77,40
2026-06-12,69,25
2026-06-13,67,20
2026-06-14,61,16
2026-06-15,66,25
2026-06-16,72,26
2026-06-17,71,26
2026-06-18,74,25
2026-06-19,70,18
2026-06-20,70,16
2026-06-21,70,16
2026-06-22,76,29
2026-06-23,68,32
2026-06-24,74,33
2026-06-25,71,26
2026-06-26,66,23
