date,trends_hood,trends_robinhood
2026-03-25,75,23
2026-03-26,76,21
2026-03-27,79,21
2026-03-28,80,16
2026-03-29,84,15
2026-03-30,79,22
2026-03-31,85,22
2026-04-01,90,23
2026-04-02,88,21
2026-04-03,85,17
2026-04-04,91,14
2026-04-05,85,15
2026-04-06,88,23
2026-04-07,89,22
2026-04-08,94,25
2026-04-09,93,21
2026-04-10,93,21
2026-04-11,96,17
2026-04-12,96,17
2026-04-13,93,24
2026-04-14,93,26
2026-04-15,93,31
2026-04-16,97,27
2026-04-17,98,28
2026-04-18,97,15
2026-04-19,91,13
2026-04-20,90,22
2026-04-21,92,25
2026-04-22,92,24
2026-04-23,86,23
2026-04-24,92,20
2026-04-25,91,13
2026-04-26,90,13
2026-04-27,85,25
2026-04-28,84,23
2026-04-29,87,23
2026-04-30,84,21
2026-05-01,83,22
2026-05-02,86,14
2026-05-03,84,12
2026-05-04,79,20
2026-05-05,76,21
2026-05-06,84,23
2026-05-07,84,23
2026-05-08,82,23
2026-05-09,88,14
2026-05-10,83,14
2026-05-11,86,25
2026-05-12,82,25
2026-05-13,91,26
2026-05-14,100,32
2026-05-15,98,27
2026-05-16,97,14
2026-05-17,91,13
2026-05-18,89,22
2026-05-19,88,20
2026-05-20,85,22
2026-05-21,85,24
2026-05-22,88,30
2026-05-23,86,18
2026-05-24,90,14
2026-05-25,87,16
2026-05-26,80,25
2026-05-27,81,31
2026-05-28,88,32
2026-05-29,84,33
2026-05-30,87,21
2026-05-31,85,22
2026-06-01,78,32
2026-06-02,81,33
2026-06-03,84,32
2026-06-04,83,36
2026-06-05,85,34
2026-06-06,80,22
2026-06-07,87,20
2026-06-08,83,35
2026-06-09,73,27
2026-06-10,77,28
2026-06-11,75,30
2026-06-12,76,51
2026-06-13,75,20
2026-06-14,70,15
2026-06-15,75,30
2026-06-16,78,32
2026-06-17,77,28
2026-06-18,84,25
2026-06-19,90,19
2026-06-20,96,16
2026-06-21,93,14
2026-06-22,85,25
2026-06-23,0,0
