date,trends_jpm,trends_jpmorgan_chase
2026-03-25,31,29
2026-03-26,32,27
2026-03-27,32,28
2026-03-28,13,24
2026-03-29,13,19
2026-03-30,34,23
2026-03-31,39,34
2026-04-01,38,28
2026-04-02,31,25
2026-04-03,21,23
2026-04-04,10,19
2026-04-05,11,15
2026-04-06,32,26
2026-04-07,35,29
2026-04-08,40,30
2026-04-09,36,31
2026-04-10,34,29
2026-04-11,11,24
2026-04-12,12,21
2026-04-13,45,22
2026-04-14,64,32
2026-04-15,51,31
2026-04-16,36,29
2026-04-17,42,35
2026-04-18,17,20
2026-04-19,13,23
2026-04-20,35,24
2026-04-21,41,26
2026-04-22,45,26
2026-04-23,39,24
2026-04-24,51,28
2026-04-25,20,25
2026-04-26,15,22
2026-04-27,41,25
2026-04-28,42,23
2026-04-29,35,25
2026-04-30,100,34
2026-05-01,100,51
2026-05-02,34,31
2026-05-03,16,24
2026-05-04,34,19
2026-05-05,36,29
2026-05-06,47,30
2026-05-07,39,33
2026-05-08,36,23
2026-05-09,18,19
2026-05-10,10,20
2026-05-11,33,27
2026-05-12,34,28
2026-05-13,33,24
2026-05-14,37,23
2026-05-15,36,22
2026-05-16,13,14
2026-05-17,10,14
2026-05-18,27,18
2026-05-19,30,20
2026-05-20,35,18
2026-05-21,30,20
2026-05-22,29,22
2026-05-23,12,14
2026-05-24,11,12
2026-05-25,11,12
2026-05-26,31,22
2026-05-27,42,24
2026-05-28,46,26
2026-05-29,37,20
2026-05-30,13,16
2026-05-31,12,17
2026-06-01,37,25
2026-06-02,35,28
2026-06-03,33,21
2026-06-04,39,25
2026-06-05,36,21
2026-06-06,14,21
2026-06-07,11,20
2026-06-08,32,24
2026-06-09,27,16
2026-06-10,27,14
2026-06-11,25,13
2026-06-12,27,14
2026-06-13,10,8
2026-06-14,8,7
2026-06-15,31,13
2026-06-16,36,15
2026-06-17,34,13
2026-06-18,30,13
2026-06-19,14,9
2026-06-20,9,7
2026-06-21,8,6
2026-06-22,27,16
2026-06-23,0,0
