date,trends_lcid,trends_lucid_motors
2026-03-28,0,25
2026-03-29,17,30
2026-03-30,35,36
2026-03-31,43,25
2026-04-01,42,33
2026-04-02,48,31
2026-04-03,27,34
2026-04-04,0,32
2026-04-05,0,31
2026-04-06,55,49
2026-04-07,47,36
2026-04-08,42,28
2026-04-09,27,26
2026-04-10,37,29
2026-04-11,13,26
2026-04-12,17,22
2026-04-13,40,27
2026-04-14,80,55
2026-04-15,60,58
2026-04-16,61,38
2026-04-17,83,40
2026-04-18,19,35
2026-04-19,17,26
2026-04-20,80,45
2026-04-21,96,46
2026-04-22,70,40
2026-04-23,76,46
2026-04-24,62,48
2026-04-25,25,33
2026-04-26,19,42
2026-04-27,79,47
2026-04-28,75,41
2026-04-29,63,39
2026-04-30,69,37
2026-05-01,62,29
2026-05-02,23,21
2026-05-03,12,24
2026-05-04,49,21
2026-05-05,96,42
2026-05-06,100,47
2026-05-07,56,37
2026-05-08,51,36
2026-05-09,19,37
2026-05-10,0,34
2026-05-11,46,37
2026-05-12,36,35
2026-05-13,43,27
2026-05-14,40,25
2026-05-15,27,34
2026-05-16,13,30
2026-05-17,16,43
2026-05-18,47,27
2026-05-19,37,16
2026-05-20,41,29
2026-05-21,41,40
2026-05-22,47,51
2026-05-23,13,29
2026-05-24,0,29
2026-05-25,16,36
2026-05-26,47,27
2026-05-27,38,47
2026-05-28,55,42
2026-05-29,45,30
2026-05-30,17,29
2026-05-31,14,37
2026-06-01,51,35
2026-06-02,61,44
2026-06-03,43,42
2026-06-04,36,41
2026-06-05,54,30
2026-06-06,17,41
2026-06-07,16,28
2026-06-08,50,32
2026-06-09,45,31
2026-06-10,56,33
2026-06-11,55,41
2026-06-12,40,26
2026-06-13,11,22
2026-06-14,9,19
2026-06-15,43,27
2026-06-16,37,28
2026-06-17,37,27
2026-06-18,38,29
2026-06-19,18,24
2026-06-20,10,20
2026-06-21,8,21
2026-06-22,48,51
2026-06-23,38,47
2026-06-24,35,38
2026-06-25,35,31
2026-06-26,35,26
