date,trends_lmt,trends_lockheed_martin
2026-03-25,35,85
2026-03-26,33,97
2026-03-27,35,83
2026-03-28,22,60
2026-03-29,21,61
2026-03-30,34,82
2026-03-31,37,94
2026-04-01,38,96
2026-04-02,37,85
2026-04-03,25,68
2026-04-04,22,53
2026-04-05,20,62
2026-04-06,38,87
2026-04-07,39,91
2026-04-08,40,91
2026-04-09,36,84
2026-04-10,34,77
2026-04-11,22,75
2026-04-12,17,81
2026-04-13,34,83
2026-04-14,31,86
2026-04-15,32,74
2026-04-16,31,85
2026-04-17,37,83
2026-04-18,21,55
2026-04-19,18,53
2026-04-20,31,78
2026-04-21,37,85
2026-04-22,39,90
2026-04-23,48,100
2026-04-24,41,84
2026-04-25,25,61
2026-04-26,21,72
2026-04-27,33,79
2026-04-28,37,78
2026-04-29,35,83
2026-04-30,39,81
2026-05-01,35,74
2026-05-02,25,67
2026-05-03,25,53
2026-05-04,37,67
2026-05-05,35,90
2026-05-06,37,94
2026-05-07,29,82
2026-05-08,30,70
2026-05-09,23,51
2026-05-10,23,55
2026-05-11,30,76
2026-05-12,34,70
2026-05-13,33,79
2026-05-14,28,78
2026-05-15,31,62
2026-05-16,21,48
2026-05-17,22,49
2026-05-18,32,72
2026-05-19,30,65
2026-05-20,30,70
2026-05-21,30,76
2026-05-22,32,69
2026-05-23,21,56
2026-05-24,22,43
2026-05-25,19,70
2026-05-26,31,72
2026-05-27,32,80
2026-05-28,36,73
2026-05-29,32,64
2026-05-30,23,46
2026-05-31,20,56
2026-06-01,35,73
2026-06-02,37,95
2026-06-03,30,69
2026-06-04,30,70
2026-06-05,27,64
2026-06-06,27,53
2026-06-07,24,58
2026-06-08,35,81
2026-06-09,27,62
2026-06-10,29,66
2026-06-11,29,60
2026-06-12,29,50
2026-06-13,18,37
2026-06-14,16,36
2026-06-15,28,59
2026-06-16,28,77
2026-06-17,27,73
2026-06-18,29,61
2026-06-19,24,44
2026-06-20,18,34
2026-06-21,17,34
2026-06-22,31,57
2026-06-23,0,0
