date,trends_mcd,trends_mcdonald's
2026-03-25,1,55
2026-03-26,2,52
2026-03-27,2,55
2026-03-28,1,65
2026-03-29,1,67
2026-03-30,1,50
2026-03-31,2,71
2026-04-01,2,72
2026-04-02,2,62
2026-04-03,1,67
2026-04-04,1,72
2026-04-05,1,79
2026-04-06,1,60
2026-04-07,1,49
2026-04-08,1,54
2026-04-09,2,50
2026-04-10,2,51
2026-04-11,1,66
2026-04-12,1,66
2026-04-13,2,47
2026-04-14,2,50
2026-04-15,2,53
2026-04-16,1,49
2026-04-17,2,59
2026-04-18,1,69
2026-04-19,1,67
2026-04-20,1,47
2026-04-21,1,48
2026-04-22,1,49
2026-04-23,2,49
2026-04-24,2,51
2026-04-25,1,61
2026-04-26,1,78
2026-04-27,2,52
2026-04-28,2,49
2026-04-29,2,57
2026-04-30,2,56
2026-05-01,2,62
2026-05-02,1,74
2026-05-03,1,83
2026-05-04,1,61
2026-05-05,2,53
2026-05-06,2,54
2026-05-07,3,53
2026-05-08,2,53
2026-05-09,1,64
2026-05-10,1,62
2026-05-11,2,49
2026-05-12,2,50
2026-05-13,2,51
2026-05-14,2,51
2026-05-15,2,54
2026-05-16,1,69
2026-05-17,1,66
2026-05-18,2,46
2026-05-19,2,48
2026-05-20,2,53
2026-05-21,2,57
2026-05-22,2,57
2026-05-23,1,65
2026-05-24,1,67
2026-05-25,1,66
2026-05-26,2,48
2026-05-27,2,52
2026-05-28,2,55
2026-05-29,2,58
2026-05-30,1,67
2026-05-31,1,66
2026-06-01,2,51
2026-06-02,2,56
2026-06-03,2,56
2026-06-04,2,71
2026-06-05,2,83
2026-06-06,2,87
2026-06-07,1,70
2026-06-08,2,55
2026-06-09,2,52
2026-06-10,2,57
2026-06-11,2,53
2026-06-12,1,66
2026-06-13,1,100
2026-06-14,1,62
2026-06-15,1,53
2026-06-16,1,51
2026-06-17,1,54
2026-06-18,2,60
2026-06-19,1,66
2026-06-20,1,67
2026-06-21,1,62
2026-06-22,2,49
2026-06-23,0,0
