date,trends_meta,trends_meta_platforms
2026-03-28,66,1
2026-03-29,67,1
2026-03-30,68,1
2026-03-31,72,1
2026-04-01,78,1
2026-04-02,71,1
2026-04-03,66,1
2026-04-04,63,0
2026-04-05,66,1
2026-04-06,70,1
2026-04-07,70,1
2026-04-08,86,1
2026-04-09,81,1
2026-04-10,73,1
2026-04-11,72,1
2026-04-12,71,0
2026-04-13,70,0
2026-04-14,74,1
2026-04-15,75,1
2026-04-16,76,1
2026-04-17,87,2
2026-04-18,73,1
2026-04-19,68,1
2026-04-20,66,1
2026-04-21,71,1
2026-04-22,74,1
2026-04-23,78,1
2026-04-24,76,1
2026-04-25,63,1
2026-04-26,67,1
2026-04-27,68,1
2026-04-28,65,1
2026-04-29,84,1
2026-04-30,91,1
2026-05-01,72,1
2026-05-02,62,1
2026-05-03,61,1
2026-05-04,62,1
2026-05-05,73,1
2026-05-06,73,1
2026-05-07,72,1
2026-05-08,70,1
2026-05-09,66,1
2026-05-10,66,1
2026-05-11,65,1
2026-05-12,68,1
2026-05-13,74,1
2026-05-14,80,1
2026-05-15,80,1
2026-05-16,83,1
2026-05-17,77,1
2026-05-18,77,1
2026-05-19,81,1
2026-05-20,100,1
2026-05-21,88,1
2026-05-22,87,1
2026-05-23,83,1
2026-05-24,76,1
2026-05-25,77,1
2026-05-26,77,1
2026-05-27,84,1
2026-05-28,84,1
2026-05-29,77,1
2026-05-30,73,1
2026-05-31,78,1
2026-06-01,88,1
2026-06-02,81,1
2026-06-03,73,1
2026-06-04,77,1
2026-06-05,83,1
2026-06-06,89,1
2026-06-07,82,1
2026-06-08,86,1
2026-06-09,86,1
2026-06-10,88,1
2026-06-11,83,1
2026-06-12,68,0
2026-06-13,51,0
2026-06-14,47,0
2026-06-15,60,0
2026-06-16,58,0
2026-06-17,56,0
2026-06-18,59,0
2026-06-19,53,0
2026-06-20,50,0
2026-06-21,51,0
2026-06-22,66,0
2026-06-23,76,1
2026-06-24,82,1
2026-06-25,71,0
2026-06-26,75,0
