date,trends_msft,trends_microsoft
2026-03-24,6,75
2026-03-25,6,84
2026-03-26,6,77
2026-03-27,6,85
2026-03-28,2,68
2026-03-29,2,72
2026-03-30,6,83
2026-03-31,6,80
2026-04-01,5,84
2026-04-02,4,79
2026-04-03,2,68
2026-04-04,1,48
2026-04-05,1,46
2026-04-06,4,77
2026-04-07,4,81
2026-04-08,6,91
2026-04-09,5,88
2026-04-10,5,76
2026-04-11,2,52
2026-04-12,1,50
2026-04-13,5,76
2026-04-14,6,83
2026-04-15,8,81
2026-04-16,7,81
2026-04-17,8,84
2026-04-18,2,56
2026-04-19,1,52
2026-04-20,5,76
2026-04-21,5,82
2026-04-22,6,83
2026-04-23,7,80
2026-04-24,6,70
2026-04-25,2,54
2026-04-26,2,57
2026-04-27,6,85
2026-04-28,6,79
2026-04-29,13,83
2026-04-30,11,75
2026-05-01,7,68
2026-05-02,2,52
2026-05-03,1,51
2026-05-04,5,66
2026-05-05,6,72
2026-05-06,5,76
2026-05-07,5,72
2026-05-08,5,70
2026-05-09,2,48
2026-05-10,1,46
2026-05-11,5,72
2026-05-12,4,75
2026-05-13,5,80
2026-05-14,5,81
2026-05-15,6,72
2026-05-16,2,69
2026-05-17,1,67
2026-05-18,5,80
2026-05-19,5,90
2026-05-20,4,86
2026-05-21,4,79
2026-05-22,5,76
2026-05-23,2,58
2026-05-24,1,59
2026-05-25,1,62
2026-05-26,5,86
2026-05-27,4,85
2026-05-28,6,88
2026-05-29,7,85
2026-05-30,2,65
2026-05-31,2,77
2026-06-01,8,93
2026-06-02,8,100
2026-06-03,6,83
2026-06-04,5,87
2026-06-05,5,83
2026-06-06,2,81
2026-06-07,1,77
2026-06-08,5,99
2026-06-09,5,60
2026-06-10,4,61
2026-06-11,5,56
2026-06-12,5,50
2026-06-13,1,36
2026-06-14,1,39
2026-06-15,5,61
2026-06-16,5,59
2026-06-17,5,61
2026-06-18,6,57
2026-06-19,2,43
2026-06-20,1,35
2026-06-21,1,34
2026-06-22,5,71
