date,trends_mstr,trends_microstrategy
2026-03-28,13,8
2026-03-29,12,9
2026-03-30,33,12
2026-03-31,34,13
2026-04-01,34,13
2026-04-02,29,9
2026-04-03,15,8
2026-04-04,9,5
2026-04-05,9,5
2026-04-06,35,12
2026-04-07,31,11
2026-04-08,35,12
2026-04-09,32,11
2026-04-10,28,8
2026-04-11,12,6
2026-04-12,9,7
2026-04-13,34,8
2026-04-14,37,13
2026-04-15,37,23
2026-04-16,41,13
2026-04-17,87,40
2026-04-18,22,11
2026-04-19,14,10
2026-04-20,51,14
2026-04-21,44,15
2026-04-22,61,19
2026-04-23,47,13
2026-04-24,40,21
2026-04-25,14,9
2026-04-26,13,10
2026-04-27,42,16
2026-04-28,32,16
2026-04-29,33,11
2026-04-30,34,9
2026-05-01,44,14
2026-05-02,17,11
2026-05-03,15,10
2026-05-04,52,12
2026-05-05,80,20
2026-05-06,70,23
2026-05-07,41,13
2026-05-08,38,11
2026-05-09,19,10
2026-05-10,17,10
2026-05-11,49,11
2026-05-12,43,12
2026-05-13,36,13
2026-05-14,48,10
2026-05-15,39,9
2026-05-16,15,6
2026-05-17,9,5
2026-05-18,38,13
2026-05-19,29,8
2026-05-20,29,9
2026-05-21,29,12
2026-05-22,32,12
2026-05-23,22,13
2026-05-24,12,6
2026-05-25,13,10
2026-05-26,33,10
2026-05-27,32,11
2026-05-28,39,10
2026-05-29,40,13
2026-05-30,14,7
2026-05-31,14,12
2026-06-01,59,22
2026-06-02,67,26
2026-06-03,58,24
2026-06-04,66,24
2026-06-05,70,21
2026-06-06,30,15
2026-06-07,21,13
2026-06-08,56,17
2026-06-09,48,18
2026-06-10,45,18
2026-06-11,40,14
2026-06-12,28,7
2026-06-13,10,4
2026-06-14,8,2
2026-06-15,37,7
2026-06-16,29,6
2026-06-17,29,6
2026-06-18,50,11
2026-06-19,22,7
2026-06-20,11,4
2026-06-21,10,7
2026-06-22,42,9
2026-06-23,41,9
2026-06-24,79,14
2026-06-25,100,19
2026-06-26,78,17
