date,trends_nflx,trends_netflix
2026-03-28,0,68
2026-03-29,0,70
2026-03-30,0,54
2026-03-31,0,46
2026-04-01,0,43
2026-04-02,1,49
2026-04-03,0,47
2026-04-04,0,56
2026-04-05,0,59
2026-04-06,1,55
2026-04-07,0,45
2026-04-08,1,45
2026-04-09,1,47
2026-04-10,0,47
2026-04-11,0,57
2026-04-12,0,62
2026-04-13,1,45
2026-04-14,1,44
2026-04-15,1,43
2026-04-16,2,44
2026-04-17,3,56
2026-04-18,0,63
2026-04-19,0,68
2026-04-20,1,47
2026-04-21,1,47
2026-04-22,1,44
2026-04-23,1,44
2026-04-24,1,45
2026-04-25,0,55
2026-04-26,0,66
2026-04-27,1,46
2026-04-28,1,41
2026-04-29,1,40
2026-04-30,1,42
2026-05-01,1,47
2026-05-02,0,56
2026-05-03,0,65
2026-05-04,0,49
2026-05-05,1,55
2026-05-06,1,48
2026-05-07,1,44
2026-05-08,1,47
2026-05-09,0,57
2026-05-10,0,63
2026-05-11,1,50
2026-05-12,1,47
2026-05-13,1,46
2026-05-14,1,48
2026-05-15,1,51
2026-05-16,0,81
2026-05-17,0,100
2026-05-18,1,55
2026-05-19,1,52
2026-05-20,0,53
2026-05-21,1,57
2026-05-22,0,58
2026-05-23,0,70
2026-05-24,0,79
2026-05-25,0,72
2026-05-26,0,57
2026-05-27,0,51
2026-05-28,1,52
2026-05-29,1,55
2026-05-30,0,64
2026-05-31,0,64
2026-06-01,1,65
2026-06-02,1,51
2026-06-03,1,49
2026-06-04,1,48
2026-06-05,0,53
2026-06-06,0,64
2026-06-07,0,70
2026-06-08,0,54
2026-06-09,0,48
2026-06-10,0,52
2026-06-11,0,46
2026-06-12,0,42
2026-06-13,0,54
2026-06-14,0,60
2026-06-15,0,55
2026-06-16,1,56
2026-06-17,1,52
2026-06-18,1,55
2026-06-19,0,58
2026-06-20,0,61
2026-06-21,0,65
2026-06-22,1,61
2026-06-23,1,59
2026-06-24,1,57
2026-06-25,1,50
2026-06-26,1,53
