date,trends_nvax,trends_novavax
2026-03-28,35,0
2026-03-29,0,0
2026-03-30,57,35
2026-03-31,49,35
2026-04-01,55,43
2026-04-02,25,45
2026-04-03,0,33
2026-04-04,0,0
2026-04-05,0,0
2026-04-06,31,33
2026-04-07,33,37
2026-04-08,47,55
2026-04-09,41,48
2026-04-10,36,32
2026-04-11,0,0
2026-04-12,0,35
2026-04-13,38,41
2026-04-14,33,38
2026-04-15,29,33
2026-04-16,31,38
2026-04-17,40,37
2026-04-18,0,0
2026-04-19,0,0
2026-04-20,37,36
2026-04-21,25,34
2026-04-22,46,44
2026-04-23,29,58
2026-04-24,31,0
2026-04-25,0,32
2026-04-26,0,39
2026-04-27,29,25
2026-04-28,36,44
2026-04-29,35,0
2026-04-30,31,0
2026-05-01,25,0
2026-05-02,0,0
2026-05-03,0,0
2026-05-04,36,38
2026-05-05,32,48
2026-05-06,66,62
2026-05-07,85,54
2026-05-08,96,59
2026-05-09,0,0
2026-05-10,0,0
2026-05-11,79,34
2026-05-12,37,42
2026-05-13,60,0
2026-05-14,48,25
2026-05-15,40,30
2026-05-16,0,33
2026-05-17,29,0
2026-05-18,32,43
2026-05-19,47,32
2026-05-20,41,38
2026-05-21,34,44
2026-05-22,47,32
2026-05-23,0,0
2026-05-24,0,0
2026-05-25,0,0
2026-05-26,43,56
2026-05-27,100,72
2026-05-28,82,40
2026-05-29,61,34
2026-05-30,27,43
2026-05-31,39,32
2026-06-01,56,31
2026-06-02,51,49
2026-06-03,43,33
2026-06-04,48,36
2026-06-05,44,27
2026-06-06,0,35
2026-06-07,0,35
2026-06-08,32,40
2026-06-09,51,39
2026-06-10,30,27
2026-06-11,31,23
2026-06-12,26,21
2026-06-13,9,12
2026-06-14,7,9
2026-06-15,29,26
2026-06-16,29,23
2026-06-17,34,21
2026-06-18,34,28
2026-06-19,14,22
2026-06-20,8,13
2026-06-21,7,11
2026-06-22,28,26
2026-06-23,29,25
2026-06-24,27,25
2026-06-25,28,21
2026-06-26,26,20
