date,trends_pfe,trends_pfizer
2026-03-25,24,67
2026-03-26,24,67
2026-03-27,21,56
2026-03-28,8,59
2026-03-29,6,48
2026-03-30,19,59
2026-03-31,27,60
2026-04-01,26,79
2026-04-02,23,71
2026-04-03,9,69
2026-04-04,5,41
2026-04-05,6,40
2026-04-06,23,57
2026-04-07,19,66
2026-04-08,23,67
2026-04-09,21,65
2026-04-10,17,56
2026-04-11,7,43
2026-04-12,5,42
2026-04-13,21,59
2026-04-14,18,68
2026-04-15,22,65
2026-04-16,22,68
2026-04-17,24,73
2026-04-18,8,43
2026-04-19,6,49
2026-04-20,21,60
2026-04-21,22,62
2026-04-22,23,70
2026-04-23,22,64
2026-04-24,23,66
2026-04-25,8,43
2026-04-26,3,43
2026-04-27,22,56
2026-04-28,23,57
2026-04-29,21,61
2026-04-30,22,55
2026-05-01,22,55
2026-05-02,8,45
2026-05-03,5,37
2026-05-04,21,51
2026-05-05,34,75
2026-05-06,23,75
2026-05-07,25,80
2026-05-08,25,100
2026-05-09,9,67
2026-05-10,7,59
2026-05-11,22,79
2026-05-12,21,71
2026-05-13,21,70
2026-05-14,20,57
2026-05-15,21,62
2026-05-16,8,39
2026-05-17,6,34
2026-05-18,21,47
2026-05-19,20,50
2026-05-20,19,52
2026-05-21,22,50
2026-05-22,22,52
2026-05-23,7,38
2026-05-24,4,34
2026-05-25,6,38
2026-05-26,22,53
2026-05-27,22,58
2026-05-28,20,63
2026-05-29,21,62
2026-05-30,8,47
2026-05-31,8,40
2026-06-01,22,59
2026-06-02,20,64
2026-06-03,20,49
2026-06-04,20,53
2026-06-05,21,50
2026-06-06,7,48
2026-06-07,7,45
2026-06-08,20,58
2026-06-09,18,44
2026-06-10,19,42
2026-06-11,18,41
2026-06-12,17,36
2026-06-13,6,24
2026-06-14,4,24
2026-06-15,18,38
2026-06-16,18,45
2026-06-17,15,45
2026-06-18,21,46
2026-06-19,8,31
2026-06-20,4,23
2026-06-21,16,23
2026-06-22,25,48
2026-06-23,0,0
