date,trends_pins,trends_pinterest
2026-03-25,23,72
2026-03-26,21,69
2026-03-27,22,63
2026-03-28,24,51
2026-03-29,24,57
2026-03-30,24,66
2026-03-31,24,70
2026-04-01,25,68
2026-04-02,24,67
2026-04-03,26,62
2026-04-04,25,55
2026-04-05,24,55
2026-04-06,23,62
2026-04-07,25,68
2026-04-08,29,64
2026-04-09,27,62
2026-04-10,26,61
2026-04-11,29,56
2026-04-12,27,56
2026-04-13,24,67
2026-04-14,25,66
2026-04-15,26,71
2026-04-16,26,69
2026-04-17,27,64
2026-04-18,29,54
2026-04-19,26,55
2026-04-20,24,65
2026-04-21,25,67
2026-04-22,24,65
2026-04-23,24,67
2026-04-24,23,64
2026-04-25,25,52
2026-04-26,25,59
2026-04-27,25,71
2026-04-28,22,66
2026-04-29,25,71
2026-04-30,23,65
2026-05-01,23,61
2026-05-02,25,56
2026-05-03,25,54
2026-05-04,23,67
2026-05-05,24,64
2026-05-06,24,65
2026-05-07,24,64
2026-05-08,24,65
2026-05-09,26,59
2026-05-10,23,57
2026-05-11,22,67
2026-05-12,23,70
2026-05-13,25,67
2026-05-14,26,67
2026-05-15,27,100
2026-05-16,31,55
2026-05-17,27,53
2026-05-18,25,63
2026-05-19,26,65
2026-05-20,23,66
2026-05-21,25,66
2026-05-22,26,63
2026-05-23,26,56
2026-05-24,25,61
2026-05-25,23,58
2026-05-26,24,63
2026-05-27,23,64
2026-05-28,23,68
2026-05-29,23,65
2026-05-30,27,54
2026-05-31,26,60
2026-06-01,25,66
2026-06-02,24,66
2026-06-03,24,63
2026-06-04,24,60
2026-06-05,25,62
2026-06-06,27,55
2026-06-07,26,57
2026-06-08,25,64
2026-06-09,21,65
2026-06-10,24,68
2026-06-11,20,60
2026-06-12,21,58
2026-06-13,21,52
2026-06-14,20,52
2026-06-15,21,63
2026-06-16,23,64
2026-06-17,21,63
2026-06-18,21,63
2026-06-19,22,58
2026-06-20,23,59
2026-06-21,22,62
2026-06-22,21,61
2026-06-23,0,0
