date,trends_pltr,trends_palantir
2026-03-28,10,24
2026-03-29,8,25
2026-03-30,33,37
2026-03-31,37,41
2026-04-01,34,40
2026-04-02,29,34
2026-04-03,16,28
2026-04-04,6,16
2026-04-05,6,18
2026-04-06,33,30
2026-04-07,27,37
2026-04-08,50,49
2026-04-09,60,60
2026-04-10,91,71
2026-04-11,24,34
2026-04-12,15,28
2026-04-13,49,41
2026-04-14,43,41
2026-04-15,45,43
2026-04-16,41,42
2026-04-17,47,51
2026-04-18,13,29
2026-04-19,9,31
2026-04-20,35,55
2026-04-21,36,58
2026-04-22,39,58
2026-04-23,41,56
2026-04-24,40,50
2026-04-25,12,33
2026-04-26,10,33
2026-04-27,38,54
2026-04-28,29,43
2026-04-29,36,48
2026-04-30,37,48
2026-05-01,35,44
2026-05-02,13,29
2026-05-03,12,25
2026-05-04,100,68
2026-05-05,90,75
2026-05-06,63,59
2026-05-07,48,50
2026-05-08,42,47
2026-05-09,15,29
2026-05-10,12,27
2026-05-11,46,48
2026-05-12,38,44
2026-05-13,48,43
2026-05-14,44,47
2026-05-15,40,43
2026-05-16,13,31
2026-05-17,9,26
2026-05-18,38,38
2026-05-19,33,39
2026-05-20,33,40
2026-05-21,33,39
2026-05-22,36,42
2026-05-23,13,27
2026-05-24,8,23
2026-05-25,10,24
2026-05-26,38,39
2026-05-27,36,41
2026-05-28,46,51
2026-05-29,69,61
2026-05-30,19,33
2026-05-31,17,40
2026-06-01,66,59
2026-06-02,51,60
2026-06-03,43,43
2026-06-04,40,48
2026-06-05,38,43
2026-06-06,12,32
2026-06-07,10,28
2026-06-08,38,45
2026-06-09,36,43
2026-06-10,36,46
2026-06-11,33,41
2026-06-12,31,31
2026-06-13,8,16
2026-06-14,6,15
2026-06-15,34,31
2026-06-16,31,31
2026-06-17,29,27
2026-06-18,30,29
2026-06-19,11,24
2026-06-20,6,17
2026-06-21,6,13
2026-06-22,37,35
2026-06-23,36,36
2026-06-24,38,37
2026-06-25,53,43
2026-06-26,39,36
