date,trends_pypl,trends_paypal
2026-03-28,0,73
2026-03-29,1,68
2026-03-30,1,85
2026-03-31,1,88
2026-04-01,1,96
2026-04-02,1,95
2026-04-03,1,90
2026-04-04,0,74
2026-04-05,0,64
2026-04-06,1,84
2026-04-07,1,96
2026-04-08,1,93
2026-04-09,1,91
2026-04-10,1,90
2026-04-11,0,76
2026-04-12,0,66
2026-04-13,2,82
2026-04-14,2,88
2026-04-15,2,87
2026-04-16,2,93
2026-04-17,3,99
2026-04-18,1,69
2026-04-19,0,67
2026-04-20,2,74
2026-04-21,2,84
2026-04-22,1,84
2026-04-23,1,85
2026-04-24,2,83
2026-04-25,1,66
2026-04-26,0,66
2026-04-27,2,83
2026-04-28,1,89
2026-04-29,2,84
2026-04-30,2,85
2026-05-01,1,94
2026-05-02,0,97
2026-05-03,0,72
2026-05-04,2,83
2026-05-05,5,91
2026-05-06,3,89
2026-05-07,2,80
2026-05-08,1,81
2026-05-09,1,71
2026-05-10,0,57
2026-05-11,1,78
2026-05-12,2,83
2026-05-13,1,80
2026-05-14,1,78
2026-05-15,1,89
2026-05-16,0,83
2026-05-17,1,63
2026-05-18,1,78
2026-05-19,1,84
2026-05-20,1,80
2026-05-21,1,81
2026-05-22,2,83
2026-05-23,1,69
2026-05-24,0,64
2026-05-25,1,70
2026-05-26,1,82
2026-05-27,2,85
2026-05-28,1,89
2026-05-29,1,93
2026-05-30,0,77
2026-05-31,0,83
2026-06-01,2,99
2026-06-02,1,93
2026-06-03,1,88
2026-06-04,1,90
2026-06-05,1,91
2026-06-06,1,86
2026-06-07,0,77
2026-06-08,2,91
2026-06-09,1,93
2026-06-10,2,100
2026-06-11,1,92
2026-06-12,1,85
2026-06-13,0,74
2026-06-14,0,66
2026-06-15,1,84
2026-06-16,1,96
2026-06-17,1,89
2026-06-18,1,87
2026-06-19,0,80
2026-06-20,0,76
2026-06-21,0,63
2026-06-22,1,93
2026-06-23,1,96
2026-06-24,1,99
2026-06-25,1,88
2026-06-26,1,87
