date,trends_rgti,trends_rigetti_computing
2026-03-28,5,0
2026-03-29,4,0
2026-03-30,16,3
2026-03-31,19,5
2026-04-01,16,4
2026-04-02,11,4
2026-04-03,7,3
2026-04-04,4,0
2026-04-05,4,0
2026-04-06,15,3
2026-04-07,11,3
2026-04-08,19,6
2026-04-09,16,2
2026-04-10,12,0
2026-04-11,3,0
2026-04-12,0,0
2026-04-13,14,3
2026-04-14,18,6
2026-04-15,30,6
2026-04-16,28,6
2026-04-17,26,7
2026-04-18,6,3
2026-04-19,7,3
2026-04-20,18,3
2026-04-21,19,3
2026-04-22,21,4
2026-04-23,20,3
2026-04-24,16,2
2026-04-25,7,0
2026-04-26,6,4
2026-04-27,18,3
2026-04-28,18,3
2026-04-29,17,8
2026-04-30,21,6
2026-05-01,17,2
2026-05-02,9,0
2026-05-03,9,0
2026-05-04,22,0
2026-05-05,22,4
2026-05-06,32,5
2026-05-07,29,4
2026-05-08,27,5
2026-05-09,11,4
2026-05-10,13,4
2026-05-11,53,9
2026-05-12,35,5
2026-05-13,27,4
2026-05-14,29,5
2026-05-15,20,6
2026-05-16,4,4
2026-05-17,5,4
2026-05-18,17,5
2026-05-19,21,4
2026-05-20,20,4
2026-05-21,79,23
2026-05-22,100,30
2026-05-23,31,14
2026-05-24,19,11
2026-05-25,18,8
2026-05-26,61,13
2026-05-27,49,8
2026-05-28,45,13
2026-05-29,48,11
2026-05-30,14,6
2026-05-31,14,6
2026-06-01,48,12
2026-06-02,43,10
2026-06-03,42,6
2026-06-04,33,7
2026-06-05,34,7
2026-06-06,9,4
2026-06-07,7,0
2026-06-08,32,7
2026-06-09,33,10
2026-06-10,27,5
2026-06-11,26,6
2026-06-12,21,2
2026-06-13,5,1
2026-06-14,4,1
2026-06-15,26,4
2026-06-16,22,3
2026-06-17,19,3
2026-06-18,20,13
2026-06-19,7,4
2026-06-20,3,2
2026-06-21,3,1
2026-06-22,23,2
2026-06-23,27,4
2026-06-24,26,3
2026-06-25,21,3
2026-06-26,17,2
