date,trends_rivn,trends_rivian
2026-03-28,1,58
2026-03-29,1,53
2026-03-30,6,48
2026-03-31,6,51
2026-04-01,5,57
2026-04-02,5,52
2026-04-03,2,47
2026-04-04,1,60
2026-04-05,1,52
2026-04-06,5,53
2026-04-07,6,51
2026-04-08,7,45
2026-04-09,5,47
2026-04-10,5,49
2026-04-11,2,51
2026-04-12,1,57
2026-04-13,5,48
2026-04-14,6,54
2026-04-15,5,50
2026-04-16,6,54
2026-04-17,7,53
2026-04-18,2,59
2026-04-19,1,55
2026-04-20,6,53
2026-04-21,8,53
2026-04-22,7,57
2026-04-23,8,55
2026-04-24,6,49
2026-04-25,1,55
2026-04-26,1,49
2026-04-27,6,49
2026-04-28,5,51
2026-04-29,6,50
2026-04-30,11,53
2026-05-01,9,56
2026-05-02,2,54
2026-05-03,2,51
2026-05-04,7,52
2026-05-05,6,48
2026-05-06,8,55
2026-05-07,6,51
2026-05-08,7,53
2026-05-09,3,59
2026-05-10,1,55
2026-05-11,6,51
2026-05-12,5,51
2026-05-13,6,53
2026-05-14,5,54
2026-05-15,5,69
2026-05-16,2,70
2026-05-17,1,63
2026-05-18,6,57
2026-05-19,6,57
2026-05-20,6,53
2026-05-21,6,55
2026-05-22,6,56
2026-05-23,2,61
2026-05-24,1,59
2026-05-25,1,55
2026-05-26,6,52
2026-05-27,7,56
2026-05-28,6,65
2026-05-29,8,65
2026-05-30,2,64
2026-05-31,1,63
2026-06-01,9,61
2026-06-02,8,67
2026-06-03,8,55
2026-06-04,8,54
2026-06-05,7,56
2026-06-06,2,61
2026-06-07,1,57
2026-06-08,7,55
2026-06-09,7,89
2026-06-10,8,100
2026-06-11,7,87
2026-06-12,6,79
2026-06-13,2,71
2026-06-14,1,61
2026-06-15,8,60
2026-06-16,6,78
2026-06-17,6,66
2026-06-18,5,60
2026-06-19,2,55
2026-06-20,1,59
2026-06-21,1,63
2026-06-22,5,55
2026-06-23,5,54
2026-06-24,5,52
2026-06-25,5,51
2026-06-26,4,52
