date,trends_rklb,trends_rocket_lab
2026-03-28,7,10
2026-03-29,8,8
2026-03-30,29,17
2026-03-31,26,18
2026-04-01,28,21
2026-04-02,29,18
2026-04-03,11,13
2026-04-04,5,8
2026-04-05,7,12
2026-04-06,24,15
2026-04-07,21,15
2026-04-08,25,22
2026-04-09,21,15
2026-04-10,17,12
2026-04-11,8,12
2026-04-12,7,10
2026-04-13,23,12
2026-04-14,29,19
2026-04-15,30,24
2026-04-16,41,27
2026-04-17,43,30
2026-04-18,10,14
2026-04-19,8,11
2026-04-20,36,19
2026-04-21,35,22
2026-04-22,33,22
2026-04-23,29,20
2026-04-24,28,20
2026-04-25,10,11
2026-04-26,11,11
2026-04-27,25,16
2026-04-28,25,15
2026-04-29,26,17
2026-04-30,27,15
2026-05-01,25,15
2026-05-02,8,12
2026-05-03,6,9
2026-05-04,24,14
2026-05-05,28,17
2026-05-06,34,19
2026-05-07,49,25
2026-05-08,100,51
2026-05-09,35,27
2026-05-10,20,20
2026-05-11,90,40
2026-05-12,60,30
2026-05-13,59,36
2026-05-14,57,35
2026-05-15,50,31
2026-05-16,17,20
2026-05-17,14,19
2026-05-18,44,28
2026-05-19,47,29
2026-05-20,48,27
2026-05-21,56,36
2026-05-22,64,44
2026-05-23,28,30
2026-05-24,15,21
2026-05-25,17,22
2026-05-26,61,41
2026-05-27,72,51
2026-05-28,64,42
2026-05-29,67,48
2026-05-30,21,23
2026-05-31,20,25
2026-06-01,82,59
2026-06-02,66,45
2026-06-03,55,32
2026-06-04,47,34
2026-06-05,47,32
2026-06-06,17,30
2026-06-07,14,28
2026-06-08,48,37
2026-06-09,48,38
2026-06-10,44,36
2026-06-11,46,39
2026-06-12,90,46
2026-06-13,20,16
2026-06-14,11,11
2026-06-15,50,31
2026-06-16,44,35
2026-06-17,38,29
2026-06-18,37,21
2026-06-19,15,11
2026-06-20,8,7
2026-06-21,8,7
2026-06-22,41,22
2026-06-23,34,21
2026-06-24,43,28
2026-06-25,49,26
2026-06-26,39,23
