date,trends_snap
2026-03-25,78
2026-03-26,77
2026-03-27,75
2026-03-28,73
2026-03-29,78
2026-03-30,80
2026-03-31,89
2026-04-01,91
2026-04-02,89
2026-04-03,84
2026-04-04,81
2026-04-05,76
2026-04-06,89
2026-04-07,86
2026-04-08,86
2026-04-09,86
2026-04-10,88
2026-04-11,85
2026-04-12,85
2026-04-13,85
2026-04-14,88
2026-04-15,91
2026-04-16,99
2026-04-17,94
2026-04-18,85
2026-04-19,81
2026-04-20,86
2026-04-21,86
2026-04-22,85
2026-04-23,81
2026-04-24,78
2026-04-25,71
2026-04-26,79
2026-04-27,82
2026-04-28,80
2026-04-29,78
2026-04-30,79
2026-05-01,79
2026-05-02,79
2026-05-03,77
2026-05-04,76
2026-05-05,83
2026-05-06,82
2026-05-07,88
2026-05-08,79
2026-05-09,84
2026-05-10,73
2026-05-11,81
2026-05-12,83
2026-05-13,88
2026-05-14,90
2026-05-15,85
2026-05-16,83
2026-05-17,83
2026-05-18,84
2026-05-19,100
2026-05-20,90
2026-05-21,84
2026-05-22,82
2026-05-23,74
2026-05-24,67
2026-05-25,74
2026-05-26,80
2026-05-27,80
2026-05-28,77
2026-05-29,81
2026-05-30,74
2026-05-31,76
2026-06-01,81
2026-06-02,84
2026-06-03,81
2026-06-04,82
2026-06-05,84
2026-06-06,90
2026-06-07,82
2026-06-08,92
2026-06-09,78
2026-06-10,79
2026-06-11,73
2026-06-12,69
2026-06-13,62
2026-06-14,59
2026-06-15,74
2026-06-16,80
2026-06-17,79
2026-06-18,78
2026-06-19,73
2026-06-20,70
2026-06-21,68
2026-06-22,77
2026-06-23,0
