date,trends_spot,trends_spotify
2026-03-28,52,47
2026-03-29,45,45
2026-03-30,44,52
2026-03-31,48,54
2026-04-01,50,51
2026-04-02,49,54
2026-04-03,50,49
2026-04-04,52,41
2026-04-05,49,44
2026-04-06,49,50
2026-04-07,51,50
2026-04-08,52,55
2026-04-09,55,54
2026-04-10,53,55
2026-04-11,54,41
2026-04-12,53,42
2026-04-13,49,53
2026-04-14,48,56
2026-04-15,49,54
2026-04-16,51,59
2026-04-17,57,66
2026-04-18,53,45
2026-04-19,50,42
2026-04-20,46,56
2026-04-21,46,59
2026-04-22,46,57
2026-04-23,48,60
2026-04-24,46,60
2026-04-25,48,43
2026-04-26,51,44
2026-04-27,45,58
2026-04-28,43,59
2026-04-29,43,64
2026-04-30,44,64
2026-05-01,44,67
2026-05-02,47,44
2026-05-03,45,44
2026-05-04,42,55
2026-05-05,44,58
2026-05-06,47,58
2026-05-07,45,59
2026-05-08,44,60
2026-05-09,48,43
2026-05-10,46,42
2026-05-11,42,56
2026-05-12,46,81
2026-05-13,50,69
2026-05-14,49,74
2026-05-15,51,100
2026-05-16,57,71
2026-05-17,56,61
2026-05-18,50,71
2026-05-19,49,75
2026-05-20,49,67
2026-05-21,48,65
2026-05-22,48,64
2026-05-23,51,52
2026-05-24,51,49
2026-05-25,48,46
2026-05-26,47,58
2026-05-27,45,55
2026-05-28,47,59
2026-05-29,48,59
2026-05-30,51,47
2026-05-31,54,47
2026-06-01,48,53
2026-06-02,47,55
2026-06-03,46,53
2026-06-04,47,52
2026-06-05,51,51
2026-06-06,54,48
2026-06-07,57,46
2026-06-08,52,51
2026-06-09,50,46
2026-06-10,53,60
2026-06-11,50,50
2026-06-12,42,47
2026-06-13,41,37
2026-06-14,40,35
2026-06-15,42,43
2026-06-16,42,51
2026-06-17,41,44
2026-06-18,45,49
2026-06-19,44,42
2026-06-20,45,39
2026-06-21,44,37
2026-06-22,45,43
2026-06-23,46,46
2026-06-24,47,44
2026-06-25,43,41
2026-06-26,45,46
