date,trends_uber
2026-03-25,83
2026-03-26,82
2026-03-27,82
2026-03-28,91
2026-03-29,88
2026-03-30,79
2026-03-31,77
2026-04-01,77
2026-04-02,80
2026-04-03,81
2026-04-04,83
2026-04-05,80
2026-04-06,87
2026-04-07,75
2026-04-08,82
2026-04-09,79
2026-04-10,81
2026-04-11,83
2026-04-12,84
2026-04-13,78
2026-04-14,80
2026-04-15,83
2026-04-16,84
2026-04-17,94
2026-04-18,91
2026-04-19,80
2026-04-20,81
2026-04-21,81
2026-04-22,83
2026-04-23,83
2026-04-24,82
2026-04-25,85
2026-04-26,88
2026-04-27,80
2026-04-28,75
2026-04-29,75
2026-04-30,82
2026-05-01,85
2026-05-02,87
2026-05-03,86
2026-05-04,76
2026-05-05,79
2026-05-06,83
2026-05-07,79
2026-05-08,82
2026-05-09,83
2026-05-10,83
2026-05-11,77
2026-05-12,79
2026-05-13,80
2026-05-14,85
2026-05-15,83
2026-05-16,88
2026-05-17,82
2026-05-18,80
2026-05-19,76
2026-05-20,78
2026-05-21,81
2026-05-22,100
2026-05-23,93
2026-05-24,89
2026-05-25,84
2026-05-26,84
2026-05-27,82
2026-05-28,90
2026-05-29,88
2026-05-30,90
2026-05-31,95
2026-06-01,86
2026-06-02,86
2026-06-03,82
2026-06-04,82
2026-06-05,82
2026-06-06,93
2026-06-07,91
2026-06-08,80
2026-06-09,76
2026-06-10,78
2026-06-11,76
2026-06-12,80
2026-06-13,77
2026-06-14,71
2026-06-15,76
2026-06-16,83
2026-06-17,74
2026-06-18,78
2026-06-19,79
2026-06-20,81
2026-06-21,78
2026-06-22,80
2026-06-23,0
