date,trends_wmt,trends_walmart
2026-03-28,0,64
2026-03-29,0,62
2026-03-30,0,54
2026-03-31,0,51
2026-04-01,0,51
2026-04-02,0,50
2026-04-03,0,61
2026-04-04,0,67
2026-04-05,0,100
2026-04-06,0,55
2026-04-07,0,52
2026-04-08,0,52
2026-04-09,0,52
2026-04-10,0,51
2026-04-11,0,57
2026-04-12,0,57
2026-04-13,0,49
2026-04-14,0,49
2026-04-15,0,50
2026-04-16,0,51
2026-04-17,0,52
2026-04-18,0,60
2026-04-19,0,58
2026-04-20,0,49
2026-04-21,0,48
2026-04-22,0,49
2026-04-23,0,50
2026-04-24,0,52
2026-04-25,0,58
2026-04-26,0,58
2026-04-27,0,48
2026-04-28,0,47
2026-04-29,0,49
2026-04-30,0,53
2026-05-01,0,55
2026-05-02,0,60
2026-05-03,0,61
2026-05-04,0,54
2026-05-05,0,49
2026-05-06,0,52
2026-05-07,0,50
2026-05-08,0,52
2026-05-09,0,64
2026-05-10,0,61
2026-05-11,0,51
2026-05-12,0,49
2026-05-13,0,49
2026-05-14,0,53
2026-05-15,0,52
2026-05-16,0,65
2026-05-17,0,68
2026-05-18,0,52
2026-05-19,0,54
2026-05-20,0,54
2026-05-21,1,55
2026-05-22,0,55
2026-05-23,0,65
2026-05-24,0,65
2026-05-25,0,67
2026-05-26,0,57
2026-05-27,0,56
2026-05-28,0,56
2026-05-29,0,59
2026-05-30,0,66
2026-05-31,0,62
2026-06-01,0,56
2026-06-02,0,55
2026-06-03,0,54
2026-06-04,0,57
2026-06-05,0,58
2026-06-06,0,67
2026-06-07,0,65
2026-06-08,0,56
2026-06-09,0,53
2026-06-10,0,55
2026-06-11,0,53
2026-06-12,0,55
2026-06-13,0,58
2026-06-14,0,53
2026-06-15,0,53
2026-06-16,0,51
2026-06-17,0,51
2026-06-18,0,55
2026-06-19,0,56
2026-06-20,0,60
2026-06-21,0,58
2026-06-22,0,54
2026-06-23,0,56
2026-06-24,0,53
2026-06-25,0,54
2026-06-26,0,58
