date,trends_xom,trends_exxonmobil
2026-03-28,35,26
2026-03-29,32,24
2026-03-30,95,31
2026-03-31,90,33
2026-04-01,88,27
2026-04-02,99,30
2026-04-03,45,24
2026-04-04,22,21
2026-04-05,20,21
2026-04-06,68,30
2026-04-07,81,34
2026-04-08,100,40
2026-04-09,73,36
2026-04-10,61,28
2026-04-11,17,16
2026-04-12,21,14
2026-04-13,69,28
2026-04-14,66,27
2026-04-15,61,28
2026-04-16,61,32
2026-04-17,82,38
2026-04-18,25,19
2026-04-19,21,14
2026-04-20,61,22
2026-04-21,55,27
2026-04-22,52,28
2026-04-23,60,32
2026-04-24,56,32
2026-04-25,19,24
2026-04-26,16,20
2026-04-27,54,24
2026-04-28,52,28
2026-04-29,51,26
2026-04-30,60,31
2026-05-01,69,37
2026-05-02,22,20
2026-05-03,15,15
2026-05-04,51,20
2026-05-05,54,25
2026-05-06,57,33
2026-05-07,52,33
2026-05-08,51,28
2026-05-09,15,18
2026-05-10,16,20
2026-05-11,59,24
2026-05-12,55,30
2026-05-13,47,29
2026-05-14,49,29
2026-05-15,55,27
2026-05-16,18,21
2026-05-17,12,19
2026-05-18,59,21
2026-05-19,47,26
2026-05-20,51,28
2026-05-21,49,25
2026-05-22,45,24
2026-05-23,22,21
2026-05-24,13,17
2026-05-25,19,18
2026-05-26,48,29
2026-05-27,42,33
2026-05-28,48,29
2026-05-29,41,28
2026-05-30,15,21
2026-05-31,18,22
2026-06-01,52,44
2026-06-02,52,32
2026-06-03,45,23
2026-06-04,43,23
2026-06-05,40,23
2026-06-06,19,21
2026-06-07,15,21
2026-06-08,49,33
2026-06-09,42,31
2026-06-10,40,24
2026-06-11,46,26
2026-06-12,37,17
2026-06-13,12,11
2026-06-14,11,10
2026-06-15,55,18
2026-06-16,47,19
2026-06-17,35,18
2026-06-18,44,18
2026-06-19,24,15
2026-06-20,13,11
2026-06-21,11,10
2026-06-22,42,28
2026-06-23,35,22
2026-06-24,35,22
2026-06-25,37,22
2026-06-26,29,18
