date,page_views
2026-03-24,9350
2026-03-25,9718
2026-03-26,9441
2026-03-27,9831
2026-03-28,8002
2026-03-29,8031
2026-03-30,9342
2026-03-31,10568
2026-04-01,24752
2026-04-02,12882
2026-04-03,11013
2026-04-04,9862
2026-04-05,9139
2026-04-06,10565
2026-04-07,9110
2026-04-08,9735
2026-04-09,9433
2026-04-10,9070
2026-04-11,8842
2026-04-12,9110
2026-04-13,10504
2026-04-14,12317
2026-04-15,9698
2026-04-16,9590
2026-04-17,9204
2026-04-18,8008
2026-04-19,9461
2026-04-20,19985
2026-04-21,42093
2026-04-22,19986
2026-04-23,13266
2026-04-24,11357
2026-04-25,12265
2026-04-26,12117
2026-04-27,12957
2026-04-28,12910
2026-04-29,11834
2026-04-30,11251
2026-05-01,10461
2026-05-02,10355
2026-05-03,9790
2026-05-04,10080
2026-05-05,10696
2026-05-06,10412
2026-05-07,11345
2026-05-08,10189
2026-05-09,9548
2026-05-10,8281
2026-05-11,10785
2026-05-12,13227
2026-05-13,10145
2026-05-14,10629
2026-05-15,9923
2026-05-16,9058
2026-05-17,9057
2026-05-18,11336
2026-05-19,10198
2026-05-20,9574
2026-05-21,9779
2026-05-22,10342
2026-05-23,8022
2026-05-24,7800
2026-05-25,8448
2026-05-26,9180
2026-05-27,9235
2026-05-28,9948
2026-05-29,10172
2026-05-30,9346
2026-05-31,8971
2026-06-01,9563
2026-06-02,10084
2026-06-03,9798
2026-06-04,10134
2026-06-05,14630
2026-06-06,15623
2026-06-07,17581
2026-06-08,17363
2026-06-09,14419
2026-06-10,13090
2026-06-11,11505
2026-06-12,9727
2026-06-13,10846
2026-06-14,20541
2026-06-15,13965
2026-06-16,9593
2026-06-17,9400
2026-06-18,9146
2026-06-19,8594
2026-06-20,8248
2026-06-21,8295
2026-06-22,9396
