date,page_views
2026-03-27,7655
2026-03-28,6533
2026-03-29,6673
2026-03-30,8424
2026-03-31,8958
2026-04-01,8075
2026-04-02,7946
2026-04-03,7262
2026-04-04,6846
2026-04-05,6351
2026-04-06,7348
2026-04-07,7884
2026-04-08,8197
2026-04-09,7966
2026-04-10,7713
2026-04-11,6476
2026-04-12,7153
2026-04-13,8937
2026-04-14,9100
2026-04-15,8376
2026-04-16,8800
2026-04-17,8067
2026-04-18,6574
2026-04-19,7138
2026-04-20,9239
2026-04-21,10519
2026-04-22,9787
2026-04-23,9096
2026-04-24,8264
2026-04-25,6714
2026-04-26,6643
2026-04-27,8687
2026-04-28,8712
2026-04-29,7992
2026-04-30,7324
2026-05-01,7288
2026-05-02,6678
2026-05-03,7221
2026-05-04,7941
2026-05-05,8277
2026-05-06,8239
2026-05-07,8633
2026-05-08,7719
2026-05-09,6487
2026-05-10,6929
2026-05-11,8798
2026-05-12,9086
2026-05-13,9558
2026-05-14,9934
2026-05-15,8508
2026-05-16,5959
2026-05-17,6056
2026-05-18,7681
2026-05-19,7075
2026-05-20,8207
2026-05-21,8030
2026-05-22,8255
2026-05-23,6218
2026-05-24,6386
2026-05-25,6779
2026-05-26,7369
2026-05-27,7348
2026-05-28,7523
2026-05-29,9186
2026-05-30,7026
2026-05-31,6911
2026-06-01,7965
2026-06-02,7937
2026-06-03,7685
2026-06-04,7616
2026-06-05,8355
2026-06-06,7926
2026-06-07,8553
2026-06-08,10034
2026-06-09,7738
2026-06-10,7736
2026-06-11,8683
2026-06-12,8113
2026-06-13,7602
2026-06-14,7342
2026-06-15,9107
2026-06-16,10024
2026-06-17,8570
2026-06-18,8754
2026-06-19,8965
2026-06-20,6447
2026-06-21,6715
2026-06-22,7965
2026-06-23,9271
2026-06-24,9269
2026-06-25,9441
