date,page_views
2026-03-27,2264
2026-03-28,1861
2026-03-29,1877
2026-03-30,2424
2026-03-31,2276
2026-04-01,2278
2026-04-02,2294
2026-04-03,1960
2026-04-04,1794
2026-04-05,2343
2026-04-06,2245
2026-04-07,2119
2026-04-08,2151
2026-04-09,2081
2026-04-10,1954
2026-04-11,1717
2026-04-12,1837
2026-04-13,2576
2026-04-14,2584
2026-04-15,2390
2026-04-16,2217
2026-04-17,2364
2026-04-18,1848
2026-04-19,2009
2026-04-20,13381
2026-04-21,2410
2026-04-22,2214
2026-04-23,2634
2026-04-24,2267
2026-04-25,2127
2026-04-26,2375
2026-04-27,2549
2026-04-28,2227
2026-04-29,2341
2026-04-30,2349
2026-05-01,2127
2026-05-02,1811
2026-05-03,2532
2026-05-04,2231
2026-05-05,2299
2026-05-06,2418
2026-05-07,2200
2026-05-08,2150
2026-05-09,2066
2026-05-10,1934
2026-05-11,2186
2026-05-12,2530
2026-05-13,2901
2026-05-14,2939
2026-05-15,2730
2026-05-16,2109
2026-05-17,2060
2026-05-18,2330
2026-05-19,2322
2026-05-20,2455
2026-05-21,2383
2026-05-22,2152
2026-05-23,1810
2026-05-24,1794
2026-05-25,1926
2026-05-26,2111
2026-05-27,2230
2026-05-28,2452
2026-05-29,2561
2026-05-30,2166
2026-05-31,1745
2026-06-01,2041
2026-06-02,2277
2026-06-03,2217
2026-06-04,2284
2026-06-05,2246
2026-06-06,1665
2026-06-07,1770
2026-06-08,2537
2026-06-09,2016
2026-06-10,2121
2026-06-11,2400
2026-06-12,2221
2026-06-13,1784
2026-06-14,1646
2026-06-15,1979
2026-06-16,2713
2026-06-17,2679
2026-06-18,2098
2026-06-19,2947
2026-06-20,2054
2026-06-21,1731
2026-06-22,2310
2026-06-23,2122
2026-06-24,2485
2026-06-25,2213
