date,page_views
2026-03-27,3216
2026-03-28,2958
2026-03-29,2935
2026-03-30,3278
2026-03-31,3521
2026-04-01,8434
2026-04-02,8934
2026-04-03,6429
2026-04-04,5266
2026-04-05,5085
2026-04-06,5536
2026-04-07,5602
2026-04-08,4311
2026-04-09,4005
2026-04-10,4515
2026-04-11,6934
2026-04-12,3911
2026-04-13,4063
2026-04-14,3368
2026-04-15,3028
2026-04-16,3043
2026-04-17,2965
2026-04-18,2578
2026-04-19,2612
2026-04-20,2806
2026-04-21,2995
2026-04-22,2915
2026-04-23,2917
2026-04-24,2674
2026-04-25,2340
2026-04-26,2585
2026-04-27,3206
2026-04-28,2809
2026-04-29,2605
2026-04-30,2598
2026-05-01,2413
2026-05-02,2182
2026-05-03,2447
2026-05-04,2416
2026-05-05,2232
2026-05-06,2260
2026-05-07,2441
2026-05-08,2308
2026-05-09,1919
2026-05-10,1960
2026-05-11,2248
2026-05-12,2443
2026-05-13,2345
2026-05-14,2430
2026-05-15,2141
2026-05-16,1938
2026-05-17,1913
2026-05-18,2153
2026-05-19,2296
2026-05-20,2090
2026-05-21,2311
2026-05-22,2290
2026-05-23,1879
2026-05-24,1806
2026-05-25,2051
2026-05-26,2220
2026-05-27,2215
2026-05-28,2336
2026-05-29,2441
2026-05-30,1950
2026-05-31,1888
2026-06-01,2015
2026-06-02,2231
2026-06-03,2223
2026-06-04,2012
2026-06-05,2202
2026-06-06,1941
2026-06-07,1848
2026-06-08,2464
2026-06-09,2191
2026-06-10,2064
2026-06-11,2120
2026-06-12,2117
2026-06-13,1849
2026-06-14,1775
2026-06-15,2129
2026-06-16,2296
2026-06-17,1953
2026-06-18,2048
2026-06-19,1927
2026-06-20,1756
2026-06-21,1767
2026-06-22,1975
2026-06-23,1957
2026-06-24,2179
2026-06-25,2063
