date,page_views
2026-03-24,10326
2026-03-25,10750
2026-03-26,9943
2026-03-27,10205
2026-03-28,7979
2026-03-29,7305
2026-03-30,10018
2026-03-31,9913
2026-04-01,8593
2026-04-02,10715
2026-04-03,10145
2026-04-04,9203
2026-04-05,8761
2026-04-06,11647
2026-04-07,13374
2026-04-08,12524
2026-04-09,12140
2026-04-10,13709
2026-04-11,12406
2026-04-12,11809
2026-04-13,13337
2026-04-14,17657
2026-04-15,14258
2026-04-16,13068
2026-04-17,12530
2026-04-18,9205
2026-04-19,9010
2026-04-20,11786
2026-04-21,14620
2026-04-22,12678
2026-04-23,11749
2026-04-24,10551
2026-04-25,7558
2026-04-26,6685
2026-04-27,8834
2026-04-28,8497
2026-04-29,8632
2026-04-30,7578
2026-05-01,7449
2026-05-02,5756
2026-05-03,5749
2026-05-04,7565
2026-05-05,8437
2026-05-06,7843
2026-05-07,8411
2026-05-08,11241
2026-05-09,9030
2026-05-10,6263
2026-05-11,9224
2026-05-12,11257
2026-05-13,13732
2026-05-14,13312
2026-05-15,16181
2026-05-16,9855
2026-05-17,8930
2026-05-18,9706
2026-05-19,7403
2026-05-20,8685
2026-05-21,9294
2026-05-22,9383
2026-05-23,7815
2026-05-24,8023
2026-05-25,8033
2026-05-26,9840
2026-05-27,11111
2026-05-28,10552
2026-05-29,10352
2026-05-30,8471
2026-05-31,9559
2026-06-01,10853
2026-06-02,11386
2026-06-03,10208
2026-06-04,8892
2026-06-05,8715
2026-06-06,8870
2026-06-07,11699
2026-06-08,11289
2026-06-09,10845
2026-06-10,10548
2026-06-11,10447
2026-06-12,11751
2026-06-13,11808
2026-06-14,10248
2026-06-15,10299
2026-06-16,9423
2026-06-17,11127
2026-06-18,9848
2026-06-19,9019
2026-06-20,8067
2026-06-21,8440
2026-06-22,9354
