date,page_views
2026-03-24,9818
2026-03-25,10520
2026-03-26,9834
2026-03-27,10566
2026-03-28,8903
2026-03-29,9970
2026-03-30,10126
2026-03-31,8648
2026-04-01,8701
2026-04-02,9087
2026-04-03,9408
2026-04-04,9853
2026-04-05,9191
2026-04-06,10413
2026-04-07,9378
2026-04-08,8837
2026-04-09,8857
2026-04-10,9846
2026-04-11,8829
2026-04-12,8925
2026-04-13,9315
2026-04-14,9612
2026-04-15,9155
2026-04-16,9558
2026-04-17,11576
2026-04-18,8570
2026-04-19,9327
2026-04-20,9410
2026-04-21,9662
2026-04-22,9255
2026-04-23,8987
2026-04-24,8305
2026-04-25,7857
2026-04-26,8241
2026-04-27,9114
2026-04-28,8508
2026-04-29,8694
2026-04-30,8148
2026-05-01,7844
2026-05-02,7232
2026-05-03,7653
2026-05-04,8010
2026-05-05,8414
2026-05-06,8434
2026-05-07,8150
2026-05-08,7964
2026-05-09,7597
2026-05-10,7968
2026-05-11,8339
2026-05-12,8811
2026-05-13,9992
2026-05-14,8021
2026-05-15,9109
2026-05-16,8229
2026-05-17,9097
2026-05-18,8663
2026-05-19,7941
2026-05-20,8180
2026-05-21,8149
2026-05-22,8839
2026-05-23,7589
2026-05-24,7560
2026-05-25,7503
2026-05-26,8108
2026-05-27,7848
2026-05-28,8061
2026-05-29,8541
2026-05-30,7741
2026-05-31,7718
2026-06-01,7712
2026-06-02,9707
2026-06-03,8229
2026-06-04,8141
2026-06-05,9125
2026-06-06,7442
2026-06-07,8079
2026-06-08,8230
2026-06-09,8270
2026-06-10,7582
2026-06-11,7355
2026-06-12,7595
2026-06-13,7278
2026-06-14,7612
2026-06-15,7936
2026-06-16,8104
2026-06-17,7505
2026-06-18,7626
2026-06-19,7308
2026-06-20,9542
2026-06-21,8171
2026-06-22,8345
