date,page_views
2026-03-24,69
2026-03-25,85
2026-03-26,68
2026-03-27,58
2026-03-28,51
2026-03-29,46
2026-03-30,60
2026-03-31,53
2026-04-01,84
2026-04-02,72
2026-04-03,61
2026-04-04,49
2026-04-05,46
2026-04-06,60
2026-04-07,64
2026-04-08,77
2026-04-09,75
2026-04-10,118
2026-04-11,116
2026-04-12,106
2026-04-13,106
2026-04-14,106
2026-04-15,93
2026-04-16,103
2026-04-17,105
2026-04-18,121
2026-04-19,104
2026-04-20,117
2026-04-21,123
2026-04-22,84
2026-04-23,56
2026-04-24,127
2026-04-25,66
2026-04-26,63
2026-04-27,77
2026-04-28,71
2026-04-29,89
2026-04-30,88
2026-05-01,53
2026-05-02,75
2026-05-03,68
2026-05-04,67
2026-05-05,73
2026-05-06,83
2026-05-07,93
2026-05-08,113
2026-05-09,82
2026-05-10,83
2026-05-11,141
2026-05-12,93
2026-05-13,76
2026-05-14,80
2026-05-15,119
2026-05-16,42
2026-05-17,64
2026-05-18,76
2026-05-19,59
2026-05-20,63
2026-05-21,85
2026-05-22,60
2026-05-23,61
2026-05-24,47
2026-05-25,55
2026-05-26,66
2026-05-27,71
2026-05-28,71
2026-05-29,62
2026-05-30,68
2026-05-31,68
2026-06-01,79
2026-06-02,67
2026-06-03,215
2026-06-04,70
2026-06-05,67
2026-06-06,59
2026-06-07,57
2026-06-08,141
2026-06-09,52
2026-06-10,71
2026-06-11,70
2026-06-12,83
2026-06-13,54
2026-06-14,44
2026-06-15,52
2026-06-16,74
2026-06-17,67
2026-06-18,55
2026-06-19,53
2026-06-20,58
2026-06-21,67
2026-06-22,79
