date,page_views
2026-03-24,8616
2026-03-25,8092
2026-03-26,7354
2026-03-27,6461
2026-03-28,5856
2026-03-29,5408
2026-03-30,6478
2026-03-31,7449
2026-04-01,7145
2026-04-02,6308
2026-04-03,5990
2026-04-04,5081
2026-04-05,5013
2026-04-06,6698
2026-04-07,5847
2026-04-08,6131
2026-04-09,6125
2026-04-10,6871
2026-04-11,5470
2026-04-12,5686
2026-04-13,6191
2026-04-14,6866
2026-04-15,6491
2026-04-16,7009
2026-04-17,6979
2026-04-18,5948
2026-04-19,5845
2026-04-20,6752
2026-04-21,7187
2026-04-22,6644
2026-04-23,6427
2026-04-24,7608
2026-04-25,6966
2026-04-26,7311
2026-04-27,9242
2026-04-28,7975
2026-04-29,6955
2026-04-30,6765
2026-05-01,6369
2026-05-02,6417
2026-05-03,5810
2026-05-04,6301
2026-05-05,7075
2026-05-06,7274
2026-05-07,7211
2026-05-08,7177
2026-05-09,6527
2026-05-10,6869
2026-05-11,7758
2026-05-12,7761
2026-05-13,14930
2026-05-14,20729
2026-05-15,25809
2026-05-16,22102
2026-05-17,13443
2026-05-18,12118
2026-05-19,11765
2026-05-20,13711
2026-05-21,15692
2026-05-22,10418
2026-05-23,9121
2026-05-24,8524
2026-05-25,9172
2026-05-26,11096
2026-05-27,11819
2026-05-28,10292
2026-05-29,10042
2026-05-30,8615
2026-05-31,8320
2026-06-01,12596
2026-06-02,12510
2026-06-03,11398
2026-06-04,10558
2026-06-05,10619
2026-06-06,9536
2026-06-07,8817
2026-06-08,9736
2026-06-09,9717
2026-06-10,10348
2026-06-11,10292
2026-06-12,9888
2026-06-13,8827
2026-06-14,7734
2026-06-15,8180
2026-06-16,9376
2026-06-17,8714
2026-06-18,7818
2026-06-19,7323
2026-06-20,6291
2026-06-21,5850
2026-06-22,7325
