date,page_views
2026-03-24,1865
2026-03-25,2049
2026-03-26,1813
2026-03-27,1437
2026-03-28,1331
2026-03-29,1368
2026-03-30,1470
2026-03-31,1374
2026-04-01,1326
2026-04-02,1393
2026-04-03,1281
2026-04-04,1279
2026-04-05,1425
2026-04-06,1612
2026-04-07,1792
2026-04-08,1656
2026-04-09,1491
2026-04-10,1712
2026-04-11,1576
2026-04-12,1605
2026-04-13,1728
2026-04-14,1674
2026-04-15,1856
2026-04-16,1589
2026-04-17,1554
2026-04-18,1489
2026-04-19,1957
2026-04-20,2975
2026-04-21,3210
2026-04-22,2874
2026-04-23,2518
2026-04-24,2536
2026-04-25,2374
2026-04-26,2201
2026-04-27,2271
2026-04-28,1948
2026-04-29,1718
2026-04-30,1931
2026-05-01,1800
2026-05-02,1421
2026-05-03,1378
2026-05-04,1564
2026-05-05,1674
2026-05-06,1636
2026-05-07,1515
2026-05-08,1509
2026-05-09,1775
2026-05-10,1310
2026-05-11,1623
2026-05-12,1923
2026-05-13,1675
2026-05-14,1624
2026-05-15,1398
2026-05-16,1161
2026-05-17,1299
2026-05-18,1572
2026-05-19,1393
2026-05-20,1277
2026-05-21,1441
2026-05-22,1390
2026-05-23,1260
2026-05-24,1345
2026-05-25,1489
2026-05-26,1683
2026-05-27,1551
2026-05-28,1942
2026-05-29,3736
2026-05-30,2463
2026-05-31,2068
2026-06-01,2023
2026-06-02,1741
2026-06-03,1649
2026-06-04,1614
2026-06-05,1601
2026-06-06,1405
2026-06-07,1500
2026-06-08,1434
2026-06-09,1651
2026-06-10,1631
2026-06-11,1604
2026-06-12,1861
2026-06-13,1804
2026-06-14,1610
2026-06-15,1707
2026-06-16,1395
2026-06-17,1913
2026-06-18,2239
2026-06-19,2333
2026-06-20,1843
2026-06-21,1778
2026-06-22,1699
