date,page_views
2026-03-27,6356
2026-03-28,4967
2026-03-29,5443
2026-03-30,6331
2026-03-31,6492
2026-04-01,6225
2026-04-02,6408
2026-04-03,6306
2026-04-04,5642
2026-04-05,5385
2026-04-06,5997
2026-04-07,6248
2026-04-08,7414
2026-04-09,6385
2026-04-10,6173
2026-04-11,5415
2026-04-12,5805
2026-04-13,7309
2026-04-14,7604
2026-04-15,8478
2026-04-16,7122
2026-04-17,7227
2026-04-18,5825
2026-04-19,6375
2026-04-20,7733
2026-04-21,8305
2026-04-22,8113
2026-04-23,6751
2026-04-24,6185
2026-04-25,5735
2026-04-26,7489
2026-04-27,7592
2026-04-28,8639
2026-04-29,7419
2026-04-30,7020
2026-05-01,6911
2026-05-02,8657
2026-05-03,7346
2026-05-04,8174
2026-05-05,9680
2026-05-06,8475
2026-05-07,8010
2026-05-08,7427
2026-05-09,6786
2026-05-10,6623
2026-05-11,8041
2026-05-12,8416
2026-05-13,8990
2026-05-14,8509
2026-05-15,8507
2026-05-16,7148
2026-05-17,6459
2026-05-18,6554
2026-05-19,7463
2026-05-20,7452
2026-05-21,7987
2026-05-22,6729
2026-05-23,5827
2026-05-24,5525
2026-05-25,6603
2026-05-26,7065
2026-05-27,6769
2026-05-28,6947
2026-05-29,7324
2026-05-30,6033
2026-05-31,7223
2026-06-01,6957
2026-06-02,7368
2026-06-03,7287
2026-06-04,6971
2026-06-05,6954
2026-06-06,5996
2026-06-07,5883
2026-06-08,7769
2026-06-09,7513
2026-06-10,8156
2026-06-11,7510
2026-06-12,6693
2026-06-13,6340
2026-06-14,6147
2026-06-15,6915
2026-06-16,6903
2026-06-17,6480
2026-06-18,6808
2026-06-19,6322
2026-06-20,5315
2026-06-21,5515
2026-06-22,6803
2026-06-23,7001
2026-06-24,6439
2026-06-25,8237
