date,page_views
2026-03-27,1566
2026-03-28,1613
2026-03-29,1566
2026-03-30,1493
2026-03-31,1392
2026-04-01,1377
2026-04-02,1543
2026-04-03,1433
2026-04-04,1493
2026-04-05,1472
2026-04-06,1377
2026-04-07,1278
2026-04-08,1325
2026-04-09,1532
2026-04-10,1420
2026-04-11,1719
2026-04-12,1794
2026-04-13,1425
2026-04-14,1604
2026-04-15,1558
2026-04-16,1845
2026-04-17,1664
2026-04-18,1791
2026-04-19,1725
2026-04-20,1556
2026-04-21,1828
2026-04-22,1769
2026-04-23,1908
2026-04-24,1454
2026-04-25,1516
2026-04-26,1618
2026-04-27,1444
2026-04-28,2328
2026-04-29,2133
2026-04-30,2146
2026-05-01,1961
2026-05-02,2077
2026-05-03,1920
2026-05-04,1665
2026-05-05,1581
2026-05-06,2238
2026-05-07,2215
2026-05-08,2003
2026-05-09,1926
2026-05-10,2047
2026-05-11,1700
2026-05-12,1516
2026-05-13,1631
2026-05-14,1561
2026-05-15,1812
2026-05-16,1824
2026-05-17,1696
2026-05-18,1642
2026-05-19,1553
2026-05-20,1833
2026-05-21,1834
2026-05-22,1774
2026-05-23,1948
2026-05-24,1963
2026-05-25,1863
2026-05-26,1692
2026-05-27,1736
2026-05-28,1938
2026-05-29,2001
2026-05-30,1849
2026-05-31,1878
2026-06-01,1766
2026-06-02,1858
2026-06-03,1686
2026-06-04,1712
2026-06-05,1727
2026-06-06,1798
2026-06-07,1777
2026-06-08,1801
2026-06-09,2194
2026-06-10,2485
2026-06-11,2052
2026-06-12,2063
2026-06-13,1973
2026-06-14,1845
2026-06-15,1739
2026-06-16,2232
2026-06-17,2158
2026-06-18,2003
2026-06-19,1782
2026-06-20,2010
2026-06-21,2366
2026-06-22,2060
2026-06-23,1793
2026-06-24,2002
2026-06-25,2104
