date,page_views
2026-03-24,2901
2026-03-25,2903
2026-03-26,2783
2026-03-27,2678
2026-03-28,2409
2026-03-29,2440
2026-03-30,2957
2026-03-31,2858
2026-04-01,3189
2026-04-02,2804
2026-04-03,2781
2026-04-04,3262
2026-04-05,2341
2026-04-06,2695
2026-04-07,2739
2026-04-08,2558
2026-04-09,2805
2026-04-10,2722
2026-04-11,2511
2026-04-12,2505
2026-04-13,2929
2026-04-14,3220
2026-04-15,2832
2026-04-16,2748
2026-04-17,2689
2026-04-18,2324
2026-04-19,2503
2026-04-20,2731
2026-04-21,3210
2026-04-22,3105
2026-04-23,2883
2026-04-24,2779
2026-04-25,3766
2026-04-26,2731
2026-04-27,2932
2026-04-28,2894
2026-04-29,3011
2026-04-30,3247
2026-05-01,2832
2026-05-02,2862
2026-05-03,3303
2026-05-04,3252
2026-05-05,3099
2026-05-06,3217
2026-05-07,3347
2026-05-08,2863
2026-05-09,3601
2026-05-10,2467
2026-05-11,2868
2026-05-12,3241
2026-05-13,3042
2026-05-14,3030
2026-05-15,3056
2026-05-16,2711
2026-05-17,2619
2026-05-18,3765
2026-05-19,4258
2026-05-20,3368
2026-05-21,3656
2026-05-22,3578
2026-05-23,3012
2026-05-24,3246
2026-05-25,3075
2026-05-26,3632
2026-05-27,3592
2026-05-28,3722
2026-05-29,3900
2026-05-30,2730
2026-05-31,3002
2026-06-01,3080
2026-06-02,3413
2026-06-03,3155
2026-06-04,3748
2026-06-05,4269
2026-06-06,3420
2026-06-07,3751
2026-06-08,3559
2026-06-09,3342
2026-06-10,3076
2026-06-11,2991
2026-06-12,3000
2026-06-13,2605
2026-06-14,2587
2026-06-15,3233
2026-06-16,3306
2026-06-17,2910
2026-06-18,2686
2026-06-19,2473
2026-06-20,2288
2026-06-21,2418
2026-06-22,3236
