date,page_views
2026-03-24,2252
2026-03-25,2152
2026-03-26,1878
2026-03-27,1895
2026-03-28,1519
2026-03-29,1541
2026-03-30,1991
2026-03-31,1911
2026-04-01,2058
2026-04-02,1867
2026-04-03,1677
2026-04-04,1864
2026-04-05,1565
2026-04-06,1864
2026-04-07,1907
2026-04-08,1902
2026-04-09,1741
2026-04-10,1650
2026-04-11,1392
2026-04-12,1657
2026-04-13,1856
2026-04-14,1997
2026-04-15,1853
2026-04-16,1778
2026-04-17,1799
2026-04-18,1527
2026-04-19,1493
2026-04-20,1941
2026-04-21,1929
2026-04-22,1751
2026-04-23,1828
2026-04-24,1594
2026-04-25,1484
2026-04-26,2232
2026-04-27,2085
2026-04-28,3079
2026-04-29,2305
2026-04-30,1863
2026-05-01,1923
2026-05-02,1606
2026-05-03,1677
2026-05-04,1863
2026-05-05,1699
2026-05-06,1672
2026-05-07,1830
2026-05-08,1678
2026-05-09,1338
2026-05-10,1369
2026-05-11,1543
2026-05-12,1562
2026-05-13,1636
2026-05-14,1719
2026-05-15,1417
2026-05-16,1284
2026-05-17,1224
2026-05-18,1440
2026-05-19,1590
2026-05-20,1451
2026-05-21,1542
2026-05-22,1432
2026-05-23,1326
2026-05-24,1260
2026-05-25,1367
2026-05-26,1620
2026-05-27,1800
2026-05-28,2107
2026-05-29,1767
2026-05-30,1287
2026-05-31,1336
2026-06-01,1485
2026-06-02,1510
2026-06-03,1613
2026-06-04,1621
2026-06-05,1450
2026-06-06,1401
2026-06-07,1294
2026-06-08,1966
2026-06-09,1394
2026-06-10,1708
2026-06-11,1720
2026-06-12,1428
2026-06-13,1438
2026-06-14,1420
2026-06-15,1380
2026-06-16,1552
2026-06-17,1413
2026-06-18,1380
2026-06-19,1269
2026-06-20,1102
2026-06-21,1227
2026-06-22,1404
